Tytuł,Model telefonu,Wbudowana pamięć (GB),Stan,Cena (zł),Typ,Kolor,Data ekstraktu,Data opublikowania,URL
HIT! iPhone 14 Pro 128GB Space Black / Gwarancja 24 msc / Raty0%,iPhone 14 Pro,128.0,Używane,4949,Firmowe,Czarny,2023-08-09 10:29,2023-08-08 00:00,https://www.olx.pl/d/oferta/hit-iphone-14-pro-128gb-space-black-gwarancja-24-msc-raty0-CID99-IDWNBzJ.html
iPhone 14 Pro 512 GB Space Black VAT 23%,iPhone 14 Pro,512,Nowe,5999,Prywatne,Czarny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-512-gb-space-black-vat-23-CID99-IDRhVVT.html
iPhone 14 Pro 128gb Czarny Złoty fioletowy Srebrny Żelazna 89 4700zł,iPhone 14 Pro,128,Nowe,4700,Firmowe,,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-czarny-zloty-fioletowy-srebrny-zelazna-89-4700zl-CID99-IDWl3BT.html
Iphone 14 pro 128gb -SREBRNY  nowy nie rozpakowany. Zdowodem zakupu.,iPhone 14 Pro,128,Nowe,4700,Prywatne,Srebrny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-srebrny-nowy-nie-rozpakowany-zdowodem-zakupu-CID99-IDWMM4P.html
Iphone 14pro 256GB,iPhone 14 Pro,,Używane,4000,Prywatne,Biały,2023-08-08 13:36,2023-08-08 11:25,https://www.olx.pl/d/oferta/iphone-14pro-256gb-CID99-IDWNfUz.html
iPhone 13 Pro Sierra Blue,iPhone 13 Pro,128,Nowe,4899,Firmowe,Niebieski,2023-08-08 13:36,2023-08-08 11:22,https://www.olx.pl/d/oferta/iphone-13-pro-sierra-blue-CID99-IDWNfE3.html
IPhone 14 pro silver 128 gb używany przez kobietę,iPhone 14 Pro,128,Używane,4700,Prywatne,Srebrny,2023-08-08 13:36,2023-08-08 11:05,https://www.olx.pl/d/oferta/iphone-14-pro-silver-128-gb-uzywany-przez-kobiete-CID99-IDWhxF6.html
Nowy IPhone 14 Pro 256gb Space Black gw12mc,iPhone 14 Pro,256,Nowe,4800,Prywatne,Czarny,2023-08-08 13:36,2023-08-08 10:51,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-256gb-space-black-gw12mc-CID99-IDWK5z6.html
"Nowy IPhone 13pro, niebieski",iPhone 13 Pro,,Nowe,5500,Prywatne,,2023-08-08 13:36,2023-08-08 10:44,https://www.olx.pl/d/oferta/nowy-iphone-13pro-niebieski-CID99-IDOic9A.html
iPhone 14 Pro 128 GB bateria 100%,iPhone 14 Pro,128,Używane,4200,Prywatne,Fioletowy,2023-08-08 13:36,2023-08-08 09:54,https://www.olx.pl/d/oferta/iphone-14-pro-128-gb-bateria-100-CID99-IDWJ2Mh.html
Sklep iPhone 14 Pro 256gb Purple bateria 100% gwar prod,iPhone 14 Pro,,Używane,5649,Firmowe,,2023-08-08 13:36,2023-08-08 09:45,https://www.olx.pl/d/oferta/sklep-iphone-14-pro-256gb-purple-bateria-100-gwar-prod-CID99-IDTtBuY.html
**HIT**iPhone 14 Pro 128 GB Deep Purple/ Gwarancja 24 mc/ Raty 0%,iPhone 14 Pro,128,Używane,4949,Firmowe,Czarny,2023-08-08 13:36,2023-08-08 09:20,https://www.olx.pl/d/oferta/hitiphone-14-pro-128-gb-deep-purple-gwarancja-24-mc-raty-0-CID99-IDWN6EW.html
Sklep iPhone 13 Pro 128gb graphite bateria 100% gwar prod,iPhone 13 Pro,,Używane,4399,Firmowe,,2023-08-08 13:36,2023-08-08 09:16,https://www.olx.pl/d/oferta/sklep-iphone-13-pro-128gb-graphite-bateria-100-gwar-prod-CID99-IDSXVYP.html
Jak Nowy Apple iPhone 13 Pro 256GB Silver Gwarancja,iPhone 13 Pro,,Używane,4099,Firmowe,,2023-08-08 13:36,2023-08-08 09:13,https://www.olx.pl/d/oferta/jak-nowy-apple-iphone-13-pro-256gb-silver-gwarancja-CID99-IDTYwvZ.html
iPhone 13 pro 128gb stan bardzo dobry Szczecin,iPhone 13 Pro,128,Używane,3500,Prywatne,Czarny,2023-08-08 13:36,2023-08-01 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-stan-bardzo-dobry-szczecin-CID99-IDWbDXG.html
"iPhone 13 Pro 1TB, Stan IDELANY",iPhone 13 Pro,Inna,Używane,4100,Prywatne,Czarny,2023-08-08 13:36,2023-08-05 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-1tb-stan-idelany-CID99-IDWELFF.html
iPhone 13 Pro 128 GB Gold. Bateria 97%. Gwarancja 12 miesięcy.,iPhone 13 Pro,128,Używane,3800,Firmowe,,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-gold-bateria-97-gwarancja-12-miesiecy-CID99-IDWLPnM.html
Apple IPhone 14 Pro 512 GB Gwiezdna Czerń Nówka,iPhone 14 Pro,512,Nowe,5900,Prywatne,Czarny,2023-08-08 13:36,2023-08-08 08:48,https://www.olx.pl/d/oferta/apple-iphone-14-pro-512-gb-gwiezdna-czern-nowka-CID99-IDWN4ku.html
IPhone 14 Pro telefon NOWY,iPhone 14 Pro,128,Nowe,5300,Prywatne,Biały,2023-08-08 13:36,2023-08-08 08:27,https://www.olx.pl/d/oferta/iphone-14-pro-telefon-nowy-CID99-IDWN34q.html
IPhone 13 Pro 256 Gb stan idealny gwarancja,iPhone 13 Pro,,Używane,4200,Prywatne,,2023-08-08 13:36,2023-08-08 08:20,https://www.olx.pl/d/oferta/iphone-13-pro-256-gb-stan-idealny-gwarancja-CID99-IDTtoWk.html
iPhone 14 pro złoty 128,iPhone 14 Pro,128,Nowe,4600,Prywatne,Złoty,2023-08-08 13:36,2023-08-08 08:20,https://www.olx.pl/d/oferta/iphone-14-pro-zloty-128-CID99-IDWN2DR.html
iPhone 13 PRO - 128 GB,iPhone 13 Pro,128,Używane,4099,Prywatne,Szary,2023-08-08 13:36,2023-08-08 08:14,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-CID99-IDWN2j8.html
iPhone 14 pro gold,iPhone 14 Pro,Inna,Nowe,4790,Prywatne,Czarny,2023-08-08 13:36,2023-08-08 08:12,https://www.olx.pl/d/oferta/iphone-14-pro-gold-CID99-IDWN2es.html
iPhone 14 PRO NOWY,iPhone 14 Pro,128,Nowe,4700,Prywatne,Srebrny,2023-08-08 13:36,2023-08-08 07:56,https://www.olx.pl/d/oferta/iphone-14-pro-nowy-CID99-IDWN1rE.html
Iphone 14 Pro 512GB Space Black --- RTV Euro AGD ---,iPhone 14 Pro,512,Nowe,6000,Prywatne,,2023-08-08 13:36,2023-08-08 07:52,https://www.olx.pl/d/oferta/iphone-14-pro-512gb-space-black-rtv-euro-agd-CID99-IDU9LEe.html
Apple iPhone 14 Pro 256GB Srebrny Gwarancja 12m,iPhone 14 Pro,256,Nowe,5580,Firmowe,,2023-08-08 13:36,2023-08-08 07:29,https://www.olx.pl/d/oferta/apple-iphone-14-pro-256gb-srebrny-gwarancja-12m-CID99-IDTAr3l.html
iPhone 13 pro na sprzedaż,iPhone 13 Pro,Inna,Używane,3700,Prywatne,Szary,2023-08-08 13:36,2023-08-08 07:18,https://www.olx.pl/d/oferta/iphone-13-pro-na-sprzedaz-CID99-IDWMZB6.html
iPhone 13 Pro 128gb Sklep Warszawa Gwarancja 12 miesięcy,iPhone 13 Pro,,Używane,3599,Firmowe,,2023-08-08 13:36,2023-07-24 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-sklep-warszawa-gwarancja-12-miesiecy-CID99-IDSpFaV.html
"Apple iPhone 14 Pro Gold, Purple fioletowy Space Black I Silver Zabrze",iPhone 14 Pro,128,Nowe,4699,Firmowe,Fioletowy,2023-08-08 13:36,2023-07-17 00:00,https://www.olx.pl/d/oferta/apple-iphone-14-pro-gold-purple-fioletowy-space-black-i-silver-zabrze-CID99-IDSjZOl.html
iPhone 13 Pro 128 GB,iPhone 13 Pro,128,Używane,3950,Prywatne,Niebieski,2023-08-08 13:36,2023-07-24 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-CID99-IDWzdYg.html
IPhone 14 pro Nowy. iphone 256GB,iPhone 14 Pro,256,Nowe,5000,Prywatne,Fioletowy,2023-08-08 13:36,2023-08-08 07:05,https://www.olx.pl/d/oferta/iphone-14-pro-nowy-iphone-256gb-CID99-IDWMZ1C.html
Iphone 14 Pro 128 srebrny jak Nowy,iPhone 14 Pro,128,Używane,4500,Prywatne,,2023-08-08 13:36,2023-08-08 06:56,https://www.olx.pl/d/oferta/iphone-14-pro-128-srebrny-jak-nowy-CID99-IDWMYEf.html
Nowy iPhone 14 Pro 128 Deep Purple iDream Apple,iPhone 14 Pro,128,Nowe,4800,Prywatne,Fioletowy,2023-08-08 13:36,2023-08-08 06:44,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-128-deep-purple-idream-apple-CID99-IDWMYcd.html
Sprzedam iPhone 13 Pro Gold Jak Nowy,iPhone 13 Pro,128,Używane,3700,Prywatne,Złoty,2023-08-08 13:36,2023-08-08 05:09,https://www.olx.pl/d/oferta/sprzedam-iphone-13-pro-gold-jak-nowy-CID99-IDWMWQI.html
iPhone 14 Pro 512 GB Space Black Nowy!,iPhone 14 Pro,512,Nowe,5800,Prywatne,Czarny,2023-08-08 13:36,2023-08-08 05:04,https://www.olx.pl/d/oferta/iphone-14-pro-512-gb-space-black-nowy-CID99-IDWnw24.html
Iphone 12 pro 256 GB,iPhone 14 Pro,256,Używane,2699,Prywatne,Szary,2023-08-08 13:36,2023-08-08 04:46,https://www.olx.pl/d/oferta/iphone-12-pro-256-gb-CID99-IDWMWxG.html
Apple iPhone 14 Pro 6/128GB 5G Czarny(Space Black),iPhone 14 Pro,128,Nowe,4800,Prywatne,Czarny,2023-08-08 13:36,2023-08-08 01:08,https://www.olx.pl/d/oferta/apple-iphone-14-pro-6-128gb-5g-czarnyspace-black-CID99-IDWINpO.html
iPhone 14 Pro 128GB *nowy* *2 kolory*,iPhone 14 Pro,128,Nowe,4599,Prywatne,,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-nowy-2-kolory-CID99-IDWiSjC.html
iPhone 13 pro 128GB Sierra Blue Kraków Krakowska 4 Sklep Mamy Go !,iPhone 13 Pro,256,Nowe,4399,Firmowe,Niebieski,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-sierra-blue-krakow-krakowska-4-sklep-mamy-go-CID99-IDMem37.html
Nowy iPhone 14 pro gratis oryginalny case !,iPhone 14 Pro,128,Nowe,4000,Prywatne,Srebrny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/nowy-iphone-14-pro-gratis-oryginalny-case-CID99-IDWMS4n.html
iPhone 14 PRO GOLD 256GB NOWY,iPhone 14 Pro,256,Nowe,5290,Prywatne,Złoty,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-gold-256gb-nowy-CID99-IDWDNwN.html
iPhone 14 Pro 128GB SKLEP AL Jana Pawła II,iPhone 14 Pro,128,Nowe,4650,Firmowe,Srebrny,2023-08-08 13:36,2023-08-01 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-sklep-al-jana-pawla-ii-CID99-IDWijMK.html
Iphone 13 pro 1TB kolory Kraków ul.krakowska 4 Sklep GSM dostępne !,iPhone 13 Pro,Inna,Nowe,5499,Firmowe,,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-1tb-kolory-krakow-ul-krakowska-4-sklep-gsm-dostepne-CID99-IDRANhH.html
"iPhone 13 Pro 128 GB, czarny, stan bdb, bateria 91%",iPhone 13 Pro,128,Używane,3000,Prywatne,Czarny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-czarny-stan-bdb-bateria-91-CID99-IDWMRCA.html
iPhone 13 Pro 128Gb idealny zero rys szło etui magsafe,iPhone 13 Pro,128,Używane,3600,Prywatne,Srebrny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128gb-idealny-zero-rys-szlo-etui-magsafe-CID99-IDWMRte.html
Telefon iPhone 13 Pro 128GB POLECAM,iPhone 13 Pro,128,Używane,3799,Prywatne,Czarny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/telefon-iphone-13-pro-128gb-polecam-CID99-IDWMPeQ.html
Iphone 14 pro GOLD 256GB JAK NOWY! gwarancja!,iPhone 14 Pro,256,Używane,4500,Prywatne,Złoty,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-gold-256gb-jak-nowy-gwarancja-CID99-IDWMOBt.html
iPhone 14 PRO 128GB,iPhone 14 Pro,128,Nowe,4500,Prywatne,Czarny,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-128gb-CID99-IDWMNUg.html
iPhone 13 pro 128 gb,iPhone 13 Pro,128,Używane,3200,Prywatne,Niebieski,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-13-pro-128-gb-CID99-IDWMMC9.html
Apple iPhone 13 Pro 128GB Graphite - jak NOWY,iPhone 13 Pro,128,Używane,3750,Prywatne,Szary,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/apple-iphone-13-pro-128gb-graphite-jak-nowy-CID99-IDWMMh6.html
iPhone 14 Pro 256 gb,iPhone 14 Pro,256,Nowe,5500,Prywatne,,2023-08-08 13:36,2023-08-07 00:00,https://www.olx.pl/d/oferta/iphone-14-pro-256-gb-CID99-IDUU0eP.html
